date,actual,gru_mcd_1234,gru_mcd_1234_L,gru_mcd_1234_U,gru_mcd_42,gru_mcd_42_L,gru_mcd_42_U,gru_mcd_73,gru_mcd_73_L,gru_mcd_73_U,gru_mcd_31415,gru_mcd_31415_L,gru_mcd_31415_U,gru_mcd_271828183,gru_mcd_271828183_L,gru_mcd_271828183_U,lstm_mcd_31415,lstm_mcd_31415_L,lstm_mcd_31415_U,lstm_mcd_73,lstm_mcd_73_L,lstm_mcd_73_U,lstm_mcd_271828183,lstm_mcd_271828183_L,lstm_mcd_271828183_U,lstm_mcd_42,lstm_mcd_42_L,lstm_mcd_42_U,lstm_mcd_1234,lstm_mcd_1234_L,lstm_mcd_1234_U,transformer_mcd_1234,transformer_mcd_1234_L,transformer_mcd_1234_U,transformer_mcd_31415,transformer_mcd_31415_L,transformer_mcd_31415_U,transformer_mcd_73,transformer_mcd_73_L,transformer_mcd_73_U,transformer_mcd_42,transformer_mcd_42_L,transformer_mcd_42_U,transformer_mcd_271828183,transformer_mcd_271828183_L,transformer_mcd_271828183_U,tcn_mcd_73,tcn_mcd_73_L,tcn_mcd_73_U,tcn_mcd_42,tcn_mcd_42_L,tcn_mcd_42_U,tcn_mcd_31415,tcn_mcd_31415_L,tcn_mcd_31415_U,tcn_mcd_1234,tcn_mcd_1234_L,tcn_mcd_1234_U,tcn_mcd_271828183,tcn_mcd_271828183_L,tcn_mcd_271828183_U,gru_hllla_31415,gru_hllla_31415_L,gru_hllla_31415_U,gru_hllla_73,gru_hllla_73_L,gru_hllla_73_U,gru_hllla_42,gru_hllla_42_L,gru_hllla_42_U,gru_hllla_1234,gru_hllla_1234_L,gru_hllla_1234_U,gru_hllla_271828183,gru_hllla_271828183_L,gru_hllla_271828183_U
2023-06-18,6698.546875,6645.79,6561.520251,6735.052209,,,,,,,,,,,,,6682.8223,6503.218054,6826.647681,6630.9146,6505.41095,6745.547888,6659.7793,6532.160327,6784.035229,6664.48,6535.954871,6789.776489,,,,6600.7515,6535.9366455078125,6671.515783691406,,,,6486.7876,6376.880541992187,6621.545776367188,,,,6618.2344,6463.073254394531,6780.995886230468,,,,6642.5967,6630.820751953125,6653.681164550781,6696.4087,6628.585681152344,6775.056481933594,,,,6729.493,6682.027331542969,6769.733544921875,6685.458,6557.997,6812.919,,,,,,,6661.5415,6568.5723,6754.5107,,,
2023-06-19,6686.059082,6641.757,6532.414111,6735.458545,,,,,,,,,,,,,6667.72,6501.929846,6808.306287,6625.5776,6514.761194,6727.253113,6657.87,6521.155676,6773.08175,6646.6577,6508.155176,6786.044324,,,,6599.9883,6555.53525390625,6660.552612304688,,,,6480.6504,6375.529943847656,6599.650170898438,,,,6612.7593,6438.535266113281,6807.518395996093,,,,6642.859,6633.275231933594,6652.503173828125,6696.3564,6631.490417480469,6779.650720214844,,,,6727.05,6689.1107177734375,6765.093994140625,6681.414,6555.185,6807.643,,,,,,,6656.176,6562.663,6749.6885,,,
2023-06-20,6660.455078,6642.1313,6545.843982,6746.091003,,,,,,,,,,,,,6662.7925,6498.205261,6812.149329,6618.612,6520.890405,6725.556335,6651.013,6499.927881,6769.165845,6634.2476,6520.968164,6743.316797,,,,6591.6294,6547.412377929688,6652.92919921875,,,,6460.8184,6364.428259277343,6573.30791015625,,,,6599.7827,6468.951647949219,6808.859643554688,,,,6629.45,6618.117163085937,6640.077746582031,6676.87,6617.990893554687,6745.785083007812,,,,6713.7173,6675.737829589843,6752.84931640625,6665.653,6540.123,6791.1826,,,,,,,6646.1875,6550.7036,6741.6714,,,
2023-06-21,6702.625,6623.62,6527.113,6720.4354,,,,,,,,,,,,,6643.2715,6485.589575,6795.488684,6591.946,6461.655188,6729.627136,6632.986,6522.851172,6758.801184,6603.575,6476.882166,6699.827942,,,,6567.19,6508.010241699219,6630.208801269531,,,,6445.129,6345.704382324218,6540.232080078125,,,,6565.241,6424.381628417968,6722.872534179687,,,,6604.2983,6594.171496582031,6612.542956542969,6656.0996,6595.305102539062,6762.931237792969,,,,6691.4224,6665.017590332031,6724.195788574219,6642.031,6516.861,6767.2007,,,,,,,6618.7354,6522.1494,6715.3213,,,
2023-06-22,6652.26123,6659.4707,6549.574146,6751.137061,,,,,,,,,,,,,6660.437,6495.90127,6789.366626,6607.3677,6487.909277,6709.034741,6657.5205,6523.646362,6777.155225,6616.2485,6474.795532,6719.945581,,,,6589.85,6536.144714355469,6633.406103515625,,,,6470.8394,6378.298059082032,6584.101782226562,,,,6584.085,6441.755676269531,6743.957238769532,,,,6643.0938,6632.745251464844,6655.672155761718,6704.625,6649.622290039062,6790.5908203125,,,,6732.6387,6701.0033203125,6765.900256347656,6656.047,6530.815,6781.279,,,,,,,6657.7983,6565.75,6749.8467,,,
2023-06-23,6639.73291,6621.344,6526.139783,6748.352368,,,,,,,,,,,,,6646.76,6502.356848,6814.050195,6593.3945,6463.199158,6698.06969,6627.9688,6507.739709,6754.75564,6619.596,6503.447583,6719.024451,,,,6557.5537,6500.824377441406,6620.588110351562,,,,6430.345,6320.440222167968,6559.243554687499,,,,6564.63,6424.507299804687,6736.943957519531,,,,6595.9487,6584.086315917969,6607.162817382812,6646.947,6577.403723144531,6732.901599121094,,,,6685.7188,6633.193762207031,6727.564855957031,6634.978,6509.908,6760.048,,,,,,,6616.3877,6520.936,6711.8394,,,
2023-06-24,6639.73291,6612.1895,6513.400098,6697.576843,,,,,,,,,,,,,6616.9863,6452.192798,6774.841882,6579.787,6460.960571,6671.353296,6628.304,6505.03302,6741.432959,6588.802,6470.991211,6689.882507,,,,6553.5376,6497.130615234375,6615.024145507812,,,,6431.563,6317.751330566406,6542.551354980468,,,,6529.9336,6396.857995605469,6695.4968383789055,,,,6584.26,6575.166345214844,6596.917944335937,6634.4087,6586.610571289062,6687.814953613281,,,,6667.418,6624.389599609375,6703.668505859375,6612.2437,6486.443,6738.0444,,,,,,,6605.6714,6508.0103,6703.3325,,,
2023-06-25,6639.73291,6616.4937,6515.278113,6708.529968,,,,,,,,,,,,,6616.92,6457.583093,6752.975562,6573.1914,6407.204175,6687.325598,6616.3613,6495.5521,6714.978796,6588.58,6443.856445,6677.16228,,,,6548.2227,6501.332006835937,6612.829125976563,,,,6432.3857,6320.61796875,6539.9119140625,,,,6524.766,6391.268603515625,6683.198962402344,,,,6583.6187,6573.782434082032,6592.729821777344,6625.926,6576.272705078125,6684.590808105469,,,,6667.542,6619.691296386719,6702.306262207031,6612.055,6485.4116,6738.6987,,,,,,,6608.1367,6511.1904,6705.083,,,
2023-06-26,6664.667969,6619.728,6533.229163,6712.466675,,,,,,,,,,,,,6627.0527,6472.665979,6792.602759,6566.371,6443.643384,6682.849609,6620.147,6478.818054,6735.546594,6592.038,6475.000781,6722.884082,,,,6551.1514,6500.441833496094,6602.065380859375,,,,6425.186,6334.119494628906,6528.845495605468,,,,6534.1914,6390.387182617187,6718.246179199218,,,,6584.734,6574.072375488281,6594.349255371094,6636.759,6576.415112304688,6705.684484863281,,,,6666.7314,6621.21845703125,6703.324255371093,6614.4746,6487.2964,6741.653,,,,,,,6607.7847,6511.237,6704.3325,,,
2023-06-27,6661.878906,6647.2476,6556.703284,6729.084167,,,,,,,,,,,,,6649.3,6510.169568,6798.900562,6579.806,6458.060083,6707.497888,6634.8477,6522.601794,6770.289771,6608.416,6486.744458,6706.499695,,,,6559.8926,6509.413305664062,6611.186682128906,,,,6436.4067,6347.713342285157,6543.651611328125,,,,6538.5845,6382.360168457031,6737.811096191405,,,,6609.33,6597.8814453125,6619.514172363281,6667.042,6607.375390625,6737.799499511719,,,,6691.351,6650.136828613281,6725.7884521484375,6623.6914,6496.183,6751.1997,,,,,,,6628.0137,6532.496,6723.5312,,,
